code|name|active
3019|Equipo de apoyo para Construcción y Mantenimiento|TRUE
3024|Componentes de construcción de estructura portátil|TRUE
3025|Estructuras y materiales de minería subterránea|TRUE
3026|Materiales estructurales|TRUE
3100|Componentes y Suministros de Manufactura|TRUE
3110|Piezas de fundición y ensambles de piezas de fundición|TRUE
3111|Extrusiones|TRUE
3112|Piezas fundidas maquinadas|TRUE
3113|Forjaduras|TRUE
3114|Molduras|TRUE
3115|Cuerda, cadena, cable, alambre y correa|TRUE
3116|Ferretería|TRUE
3117|Rodamientos, cojinetes ruedas y engranajes|TRUE
3118|Empaques, glándulas, fundas y cubiertas|TRUE
3119|Materiales de afilado pulido y alisado|TRUE
3120|Adhesivos y selladores|TRUE
3121|Pinturas y bases y acabados|TRUE
3122|Extractos de teñir y de curtir|TRUE
3123|Materia prima en placas o barras labradas|TRUE
3124|Óptica industrial|TRUE
3125|Sistemas de control neumático, hidráulico o eléctrico|TRUE
3126|Cubiertas, cajas y envolturas|TRUE
3127|Piezas hechas a máquina|TRUE
3128|Componentes de placa y estampados|TRUE
3129|Extrusiones maquinadas|TRUE
3130|Forjas labradas|TRUE
3131|Ensambles de tubería fabricada|TRUE
3132|Ensambles fabricados de material en barras|TRUE
3133|Ensambles estructurales fabricados|TRUE
3134|Ensambles de lámina fabricado|TRUE
3135|Ensambles de tubería fabricada|TRUE
3136|Ensambles de placa fabricados|TRUE
3137|Refractarios|TRUE
3138|Imanes y materiales magnéticos|TRUE
3139|Maquinados|TRUE
3140|Empaques|TRUE
3141|Sellos|TRUE
3142|Partes sinterizadas|TRUE
3200|Componentes y Suministros Electrónicos|TRUE
3210|Circuitos impresos, circuitos integrados y micro ensamblajes|TRUE
3211|Dispositivo semiconductor discreto|TRUE
3212|Componentes pasivos discretos|TRUE
3213|Piezas de componentes y hardware electrónicos y accesorios|TRUE
3214|Dispositivos de tubo electrónico y accesorios|TRUE
3215|Dispositivos y componentes y accesorios de control de automatización|TRUE
3900|Componentes, Accesorios y Suministros de Sistemas Eléctricos e Iluminación|TRUE
3910|Lámparas y bombillas y componentes para lámparas|TRUE
3911|Iluminación, artefactos y accesorios|TRUE
3912|Equipos, suministros y componentes eléctricos|TRUE
3913|Dispositivos y accesorios y suministros de manejo de cable eléctrico|TRUE
4000|Componentes y Equipos para Distribución y Sistemas de Acondicionamiento|TRUE
4010|Calefacción, ventilación y circulación del aire|TRUE
4014|Distribución de fluidos y gas|TRUE
4015|Bombas y compresores industriales|TRUE
4016|Filtrado y purificación industrial|TRUE
4017|Instalaciones de tubos y entubamientos|TRUE
4018|Instalaciones de tubos y tuberías|TRUE
4100|Equipos y Suministros de Laboratorio, de Medición, de Observación y de Pruebas|TRUE
4110|Equipo de laboratorio y científico|TRUE
4111|Instrumentos de medida, observación y ensayo|TRUE
4112|Suministros y accesorios de laboratorio|TRUE
4200|Equipo Médico, Accesorios y Suministros|TRUE
4212|Equipos y suministros veterinarios|TRUE
4213|Telas y vestidos médicos|TRUE
4214|Suministros, productos de tratamiento y cuidado del enfermo|TRUE
4215|Equipos y suministros dentales|TRUE
4216|Equipo de diálisis y suministros|TRUE
4217|Productos para los servicios médicos de urgencias y campo|TRUE
4218|Productos de examen y control del paciente|TRUE
4219|Productos de centro médico|TRUE
4220|Productos de hacer imágenes diagnósticas médicas y de medicina nuclear|TRUE
4221|Ayuda para personas con desafíos físicos para vivir independiente|TRUE
4222|Productos para administración intravenosa y arterial|TRUE
4223|Nutrición clínica|TRUE
4224|Productos medicinales de deportes y ortopédicos y prótesis|TRUE
4225|Productos de rehabilitación y terapia ocupacional y física|TRUE
4226|Equipo y suministros post mortem y funerarios|TRUE
4227|Productos de resucitación, anestesia y respiratorio|TRUE
4228|Productos para la esterilización médica|TRUE
4229|Productos quirúrgicos|TRUE
4230|Suministros para formación y estudios de medicina|TRUE
4231|Productos para el cuidado de heridas|TRUE
4232|Implantes ortopédicos quirúrgicos|TRUE
4300|Difusión de Tecnologías de Información y Telecomunicaciones|TRUE
4319|Dispositivos de comunicaciones y accesorios|TRUE
4320|Componentes para tecnología de la información, difusión o telecomunicaciones|TRUE
4321|Equipo informático y accesorios|TRUE
4322|Equipos o plataformas y accesorios de redes multimedia o de voz y datos|TRUE
4323|Software|TRUE
4400|Equipos de Oficina, Accesorios y Suministros|TRUE
4410|Maquinaria, suministros y accesorios de oficina|TRUE
4411|Accesorios de oficina y escritorio|TRUE
4412|Suministros de oficina|TRUE
4500|Equipos y Suministros para Impresión, Fotografía y Audiovisuales|TRUE
4510|Equipo de imprenta y publicación|TRUE
4511|Equipos de audio y video para presentación y composición|TRUE
4512|Equipo de vídeo, filmación o fotografía|TRUE
4513|Medios fotográficos y de grabación|TRUE
4514|Suministros fotográficos para cine|TRUE
4600|Equipos y Suministros de Defensa, Orden Público, Protección, Vigilancia y Seguridad|TRUE
4610|Armas ligeras y munición|TRUE
4611|Armas de guerra convencionales|TRUE
4612|Misiles|TRUE
4613|Cohetes y subsistemas|TRUE
4614|Lanzadores|TRUE
4615|Protección del Orden Público|TRUE
4616|Seguridad y control público|TRUE
4617|Seguridad, vigilancia y detección|TRUE
4618|Seguridad y protección personal|TRUE
4619|Protección contra incendios|TRUE
4620|Equipo de entrenamiento de seguridad física e industrial, defensa y orden público|TRUE
4700|Equipos de Limpieza y Suministros|TRUE
4710|Tratamiento, suministros y eliminación de agua y aguas residuales|TRUE
4711|Equipo industrial de lavandería y lavado en seco|TRUE
4712|Equipo de aseo|TRUE
4713|Suministros de aseo y limpieza|TRUE
4800|Maquinaria, Equipo y Suministros para la Industria de Servicios|TRUE
4810|Equipos de servicios de alimentación para instituciones|TRUE
4811|Máquinas expendedoras|TRUE
4812|Equipo de Juego o de Apostar|TRUE
4813|Equipo y materiales funerarios|TRUE
4900|Equipos, Suministros y Accesorios para Deportes y Recreación|TRUE
4910|Coleccionables y condecoraciones|TRUE
4912|Equipos y accesorios para acampada y exteriores|TRUE
4913|Equipos de pesca y caza|TRUE
4914|Equipos para deportes acuáticos|TRUE
4915|Equipos para deportes de invierno|TRUE
4916|Equipos deportivos para campos y canchas|TRUE
4917|Equipos de gimnasia y boxeo|TRUE
4918|Juegos, equipo de tiro y mesa|TRUE
4920|Equipo para entrenamiento físico|TRUE
4921|Otros deportes|TRUE
4922|Equipo y accesorios para deportes|TRUE
4924|Equipo de recreo, parques infantiles y equipo y suministros de natación y de spa|TRUE
5000|Alimentos, Bebidas y Tabaco|TRUE
5010|Frutos secos|TRUE
5011|Productos de carne y aves de corral|TRUE
5012|Pescados y mariscos|TRUE
5013|Productos lácteos y huevos|TRUE
5015|Aceites y grasas comestibles|TRUE
5016|Chocolates, azúcares, edulcorantes y productos de confitería|TRUE
5017|Condimentos y conservantes|TRUE
5018|Productos de panadería|TRUE
5019|Alimentos preparados y conservados|TRUE
5020|Bebidas|TRUE
5021|Tabaco y productos de fumar y substitutos|TRUE
5022|Productos de cereales y legumbres|TRUE
5030|Fruta fresca|TRUE
5031|Fruta orgánica fresca|TRUE
5032|Fruta seca|TRUE
5033|Fruta orgánica seca|TRUE
5034|Fruta congelada|TRUE
5035|Fruta orgánica congelada|TRUE
5036|Fruta en lata o en frasco|TRUE
5037|Fruta orgánica en lata o en frasco|TRUE
5038|Puré de frutas|TRUE
5040|Vegetales frescos|TRUE
5041|Vegetales orgánicos frescos|TRUE
5042|Vegetales secos|TRUE
5043|Vegetales orgánicos secos|TRUE
5044|Vegetales congelados|TRUE
5045|Vegetales orgánicos congelados|TRUE
5046|Vegetales en lata o en frasco|TRUE
5047|Vegetales orgánicos en lata o en frasco|TRUE
5100|Medicamentos y Productos Farmacéuticos|TRUE
5110|Medicamentos anti infecciosos|TRUE
5111|Agentes antitumorales|TRUE
5112|Medicamentos cardiovasculares|TRUE
5113|Medicamentos hematólogos|TRUE
5114|Medicamentos para el sistema nervioso central|TRUE
5115|Medicamentos para el sistema nervioso autónomo|TRUE
5116|Medicamentos que afectan al sistema respiratorio|TRUE
5117|Medicamentos que afectan al sistema gastrointestinal|TRUE
5118|Hormonas y antagonistas hormonales|TRUE
5119|Agentes que afectan el agua y los electrolitos|TRUE
5120|Medicamentos inmunomoduladores|TRUE
5121|Categorías de medicamentos varios|TRUE
5124|Fármacos que afectan a los oídos, los ojos, la nariz y la piel|TRUE
5125|Suplementos alimenticios veterinarios|TRUE
5200|Artículos Domésticos, Suministros y Productos Electrónicos de Consumo|TRUE
5210|Revestimientos de suelos|TRUE
5212|Ropa de cama, mantelerías, paños de cocina y toallas|TRUE
5213|Tratamientos de ventanas|TRUE
5214|Aparatos electrodomésticos|TRUE
5215|Utensilios de cocina domésticos|TRUE
5216|Electrónica de consumo|TRUE
5217|Tratamientos de pared doméstica|TRUE
5300|Ropa, Maletas y Productos de Aseo Personal|TRUE
5310|Ropa|TRUE
5311|Calzado|TRUE
5312|Maletas, bolsos de mano, mochilas y estuches|TRUE
5313|Artículos de tocador y cuidado personal|TRUE
5314|Fuentes y accesorios de costura|TRUE
5400|Productos para Relojería, Joyería y Piedras Preciosas|TRUE
5410|Joyería|TRUE
5411|Relojes|TRUE
5412|Gemas|TRUE
5500|Publicaciones Impresas, Publicaciones Electrónicas y Accesorios|TRUE
5510|Medios impresos|TRUE
5511|Material electrónico de referencia|TRUE
5512|Etiquetado y accesorios|TRUE
5600|Muebles, Mobiliario y Decoración|TRUE
5610|Muebles de alojamiento|TRUE
5611|Muebles comerciales e industriales|TRUE
5612|Mobiliario institucional, escolar y educativo y accesorios|TRUE
5613|Muebles y accesorios para mercadeo|TRUE
5614|Adornos para el hogar|TRUE
6000|Instrumentos Musicales, Juegos, Juguetes, Artes, Artesanías y Equipo educativo, Materiales, Accesorios y Suministros|TRUE
6010|Materiales didácticos profesionales y de desarrollo y accesorios y suministros|TRUE
6011|Decoraciones y suministros del aula|TRUE
6012|Equipo, accesorios y suministros de arte y manualidades|TRUE
6013|Instrumentos musicales, piezas y accesorios|TRUE
6014|Juguetes y juegos|TRUE
7000|Servicios de Contratación Agrícola, Pesquera, Forestal y de Fauna|TRUE
7010|Pesquerías y acuicultura|TRUE
7011|Horticultura|TRUE
7012|Servicios de animales vivos|TRUE
7013|Preparación, gestión y protección del terreno y del suelo|TRUE
7014|Producción, gestión y protección de cultivos|TRUE
7015|Silvicultura|TRUE
7016|Fauna y flora silvestres|TRUE
7017|Desarrollo y vigilancia de recursos hidráulicos|TRUE
7100|Servicios de Minería, Petróleo y Gas|TRUE
7110|Servicios de minería|TRUE
